index,country,founded,id,industry,linkedin_url,locality,name,region,size,website
5051,australia,1982.0,vibe-hotels,hospitality,linkedin.com/company/vibe-hotels,ultimo,vibe hotels,new south wales,1001-5000,vibehotels.com
15473,australia,1985.0,gjk-facility-services,facilities services,linkedin.com/company/gjk-facility-services,collingwood,gjk facility services,victoria,1001-5000,gjkfacilityservices.com.au
16652,australia,1990.0,westrac,machinery,linkedin.com/company/westrac,,westrac cat,,1001-5000,westrac.com.au
25058,australia,1895.0,the-gabba,events services,linkedin.com/company/the-gabba,brisbane,the gabba,queensland,1001-5000,thegabba.org.au
28569,australia,2019.0,national-indigenous-australians-agency,government administration,linkedin.com/company/national-indigenous-australians-agency,canberra,national indigenous australians agency,act,1001-5000,niaa.gov.au
29167,australia,2018.0,dreampathrecruitment,staffing and recruiting,linkedin.com/company/dreampathrecruitment,springwood,dreampath recruitment,queensland,1001-5000,dreampath.com.au
30331,australia,1998.0,victory-motorcycles-australia,automotive,linkedin.com/company/victory-motorcycles-australia,,victory & indian motorcycle australia,,5001-10000,victorymotorcycles.com.au
36184,australia,,ausnetservices,utilities,linkedin.com/company/ausnetservices,,ausnet services,,1001-5000,ausnetservices.com.au
37746,australia,1986.0,australian-home-care,non-profit organization management,linkedin.com/company/australian-home-care,,australian home care,,1001-5000,ahcs.org.au
59168,australia,1908.0,soprema-australia,building materials,linkedin.com/company/soprema-australia,,soprema australia,,1001-5000,soprema.com.au
62821,australia,1978.0,abn-group,construction,linkedin.com/company/abn-group,,abn group,,1001-5000,abngroup.com.au
68783,australia,,diva_2,retail,linkedin.com/company/diva_2,,diva,,1001-5000,diva.net.au
70310,australia,,kamco,information technology and services,linkedin.com/company/kamco,melbourne,kamco,victoria,1001-5000,kamco.com.au
73557,australia,1853.0,victoriapolice,law enforcement,linkedin.com/company/victoriapolice,melbourne,victoria police,victoria,10001+,police.vic.gov.au
74946,australia,1972.0,red-rooster,restaurants,linkedin.com/company/red-rooster,,red rooster,,5001-10000,redrooster.com.au
77900,australia,2012.0,machine-generation-pty-ltd,publishing,linkedin.com/company/machine-generation-pty-ltd,south yarra,machine generation pty ltd,victoria,10001+,mechagen.net
83206,australia,,department-for-environment-and-water,renewables & environment,linkedin.com/company/department-for-environment-and-water,adelaide,department for environment and water,south australia,1001-5000,environment.sa.gov.au
83413,australia,1991.0,sureway-employment-and-training,staffing and recruiting,linkedin.com/company/sureway-employment-and-training,wagga wagga,sureway employment and training,new south wales,5001-10000,sureway.com.au
84410,australia,1848.0,melbourne-health,hospital & health care,linkedin.com/company/melbourne-health,,melbourne health,,10001+,thermh.org.au
