index,country,founded,id,industry,linkedin_url,locality,name,region,size,website
30331,australia,1998.0,victory-motorcycles-australia,automotive,linkedin.com/company/victory-motorcycles-australia,,victory & indian motorcycle australia,,5001-10000,victorymotorcycles.com.au
73557,australia,1853.0,victoriapolice,law enforcement,linkedin.com/company/victoriapolice,melbourne,victoria police,victoria,10001+,police.vic.gov.au
74946,australia,1972.0,red-rooster,restaurants,linkedin.com/company/red-rooster,,red rooster,,5001-10000,redrooster.com.au
77900,australia,2012.0,machine-generation-pty-ltd,publishing,linkedin.com/company/machine-generation-pty-ltd,south yarra,machine generation pty ltd,victoria,10001+,mechagen.net
83413,australia,1991.0,sureway-employment-and-training,staffing and recruiting,linkedin.com/company/sureway-employment-and-training,wagga wagga,sureway employment and training,new south wales,5001-10000,sureway.com.au
84410,australia,1848.0,melbourne-health,hospital & health care,linkedin.com/company/melbourne-health,,melbourne health,,10001+,thermh.org.au
86417,australia,2008.0,agis-group-pty-ltd,information technology and services,linkedin.com/company/agis-group-pty-ltd,canberra,agis - a downer company,act,10001+,agisgroup.com.au
87114,australia,,village-cinemas,entertainment,linkedin.com/company/village-cinemas,,village cinemas australia,,5001-10000,villagecinemas.com.au
98760,australia,,people-infrastructure,staffing and recruiting,linkedin.com/company/people-infrastructure,,people infrastructure,,10001+,peopleinfrastructure.com
108020,australia,1980.0,bakers-delight,retail,linkedin.com/company/bakers-delight,,bakers delight,,5001-10000,bakersdelight.com.au
117804,australia,,gorgon-lng-project.,oil & energy,linkedin.com/company/gorgon-lng-project.,,gorgon lng project.,,5001-10000,chevronaustralia.com
128461,australia,,tpg-telecom,telecommunications,linkedin.com/company/tpg-telecom,north sydney,tpg telecom,new south wales,5001-10000,tpgtelecom.com.au
146802,australia,,infinity-downline_2,marketing and advertising,linkedin.com/company/infinity-downline_2,,infinity downline,,10001+,infinitydownline.com
149394,australia,1956.0,linfox,logistics and supply chain,linkedin.com/company/linfox,,linfox,victoria,10001+,linfox.com
168517,australia,1991.0,pinnacle-people-australia,staffing and recruiting,linkedin.com/company/pinnacle-people-australia,melbourne,pinnacle people australia,victoria,5001-10000,pinnaclepeople.com.au
177939,australia,1847.0,university-of-adelaide,higher education,linkedin.com/company/university-of-adelaide,adelaide,university of adelaide,south australia,5001-10000,adelaide.edu.au
197546,australia,,link-group-lnk,financial services,linkedin.com/company/link-group-lnk,,link group (lnk),,5001-10000,linkgroup.com
207443,australia,1996.0,taskwell-australia,electrical/electronic manufacturing,linkedin.com/company/taskwell-australia,,taskwell australia,,5001-10000,taskwell.com.au
38859,australia,1961.0,multivac-australia,packaging and containers,linkedin.com/company/multivac-australia,,multivac australia,,5001-10000,multivac.com.au
47723,australia,1949.0,cpb-contractors,construction,linkedin.com/company/cpb-contractors,,cpb contractors,,10001+,cpbcon.com.au
54096,australia,1952.0,dan-murphy's,wine and spirits,linkedin.com/company/dan-murphy's,melbourne,dan murphy's,victoria,5001-10000,danmurphys.com.au
76126,australia,1927.0,woodhead,architecture & planning,linkedin.com/company/woodhead,adelaide,woodhead,south australia,5001-10000,ghdwoodhead.com
79796,australia,,health-department-western-australia,hospital & health care,linkedin.com/company/health-department-western-australia,perth,department of health (wa health),western australia,10001+,health.wa.gov.au
92857,australia,,qgc,oil & energy,linkedin.com/company/qgc,brisbane,qgc - a bg group business,queensland,5001-10000,qgc.com.au
127736,australia,1921.0,freemasons-queensland,non-profit organization management,linkedin.com/company/freemasons-queensland,,freemasons queensland,queensland,5001-10000,uglq.org.au
128650,australia,2010.0,pwc-australia,accounting,linkedin.com/company/pwc-australia,,pwc australia,,5001-10000,pwc.com.au
166526,australia,,sydney-catholic-schools,primary/secondary education,linkedin.com/company/sydney-catholic-schools,,sydney catholic schools,,10001+,sydcatholicschools.nsw.edu.au
